Product Code,Asin,Model number,Age,Dimensions
R0000HVBK7,B0039R8XF0, A1388XX,null,    41.9 x 32.4 x 25.4 cm ; 1 Kg    ,
R0000HGAN5,B005UZMB16, W3955,null,    13 x 6.4 x 33 cm    ,
R0000HGAMV,B005UZLQLW, W3954,null,    13 x 6.4 x 33 cm    ,
R0000HOQHH,B003ELP548, UKW53, 5 years and up,    52.5 x 20 x 7.3 cm    ,
R0000HORA3,B003ELP548, UKW53, 5 years and up,    52.5 x 20 x 7.3 cm    ,
R0000HOVYF,B0017TFXHI,null,null,null,
R0000HUKJP,-,null,null,null,
R0000HOV95,B004WINY8G, 230303, 5 - 7 years,null,
R0000HOQUJ,B002OHD2QQ, 8655-00HK, 3 years and up,    39.3 x 29 x 9.8 cm    ,
R0000HOOSD,B001D0RN6A, SO732, 18 months and up,    22.5 x 22.5 x 6.5 cm ; 590 g    ,
R0000HP00J,B003RWTJIW, 1135, 3 years and up,null,
R0000HV8BT,B004JSJSZW, 4415, 4 - 12 years,null,
R0000HOWIP,B0002CYUH0, GSW55N, 4 years and up,    19 x 5.8 x 57.2 cm ; 9 g    ,
R0000HOXHP,B003IR0LW4, GE5831, 3 years and up,    56 x 21.5 x 5 cm    ,
R0000HOS3J,B002KKBURK, 9297, 0 months and up,null,
R0000HOU9L,B002KKBURK, 9297, 0 months and up,null,
R0000HOQVX,-,null,null,null,
R0000HOTN3,B0024HDGUS, 85329, 3 years and up,    12.7 x 22.9 x 29.2 cm ; 18 g    ,
R0000HV8RD,B003RWTJFK, 0141, 36 months - 4 years,    10 x 23 x 17 cm ; 549 g    ,
R0000HVBKH,B008E4UOCS, 253DIP01U, 12 months and up,null,
R0000HOVS1,B004U8YJEQ, 807101, 7 - 14 years,null,
R0000HOO9H,B001GXR2XI, BJ213848,null,null,
R0000HOXOX,B0060J19MS,null,null,null,
R0000F3YAT,B0042ESHBE, T7182,null,    33 x 9.5 x 29.2 cm    ,
R0000HOOFL,B004NDSRUA, 4716, 4 - 12 years,null,
R0000HF88D,B003TQMHLC, LC54010,null,    17 x 17 x 5 cm ; 481 g    ,
R0000HOWG7,B000TLVRSE, 163237, 3 years and up,    47.5 x 28 x 5 cm ; 9 g    ,
R0000HFJRD,B003YFHUH4, 18612, 6 years and up,null,
R0000HH4GH,-,null,null,null,
R0000HQXPF,B002OHD2RU, 8301, 3 years and up,null,
R0000HOOKB,B0051BUQHK, T71579,null,    4.5 x 5.5 x 2.5 cm    ,
R0000HOP87,B004ZO9UIU, 34275, 5 years and up,    22.9 x 30.5 x 25.4 cm ; 1.8 Kg    ,
R0000HP1DF,B004ZXA1SE, NN7263,null,null,
R0000HOT33,B004GLK3AQ, NN8296,null,null,
R0000HR6IX,B000062SPG, 45530, 8 - 12 years,    25 x 7 cm ; 953 g    ,
R0000HOUR3,B003RWTJIM, 1130, 3 years and up,null,
R0000HFK7H,B007YXHZFE, 24700,null,    28 x 52 x 26 cm ; 1.4 Kg    ,
R0000HOV0J,B004CRDNS8,null, 4 years and up,null,
R0000HOXJN,B000C13T00, 9021, 12 months and up,null,
R0000HG8XR,B0042ESHG4, T7534,null,    45.7 x 11.4 x 29.2 cm ; 1.4 Kg    ,
R0000HOVTF,B004U8YIWY, 830552, 8 - 14 years,null,
R00009DFRR,-,null,null,null,
R0000BRILT,B000OVO3IA,null,null,    13.1 x 3.3 x 4.8 cm ; 82 g    ,
R0000HR0PR,B0019RFUTY, 178194, 24 months - 6 years,    20 x 7.5 x 19.5 cm ; 671 g    ,
R0000FTO2L,B003UO8IOS,null,null,null,
R0000HG65H,B0042ESHGE, T7535,null,    45.7 x 11.4 x 29.2 cm ; 794 g    ,
R0000F3E13,-,null,null,null,
R0000F3VK7,B006O6ER76, X4621,null,    32.5 x 23 x 7 cm ; 2.4 Kg    ,
R0000HV9LD,B000ZQ667A, 4191, 1 month and up,    30.5 x 30.5 x 30.5 cm ; 454 g    ,
R0000F3M6Z,B007DRUSLO,null,null,null,
